bioguideid,first_name,last_name,comcode,comname,position
T000278,Tommy,Tuberville,SSVA00,Committee on Veterans' Affairs,
T000278,Tommy,Tuberville,SSAS00,Committee on Armed Services,
V000128,Chris,Van Hollen,SSBU00,Committee on the Budget,
V000128,Chris,Van Hollen,SSAP00,Committee on Appropriations,
V000128,Chris,Van Hollen,SSBK00,"Committee on Banking, Housing, and Urban Affairs",
V000128,Chris,Van Hollen,SSFR00,Committee on Foreign Relations,
V000137,J. D.,Vance,JSEC00,Joint Economic Committee,
V000137,J. D.,Vance,SSCM00,"Committee on Commerce, Science, and Transportation",
V000137,J. D.,Vance,SSBK00,"Committee on Banking, Housing, and Urban Affairs",
V000137,J. D.,Vance,SPAG00,Special Committee on Aging,
W000805,Mark R.,Warner,JSLC00,Joint Committee on the Library,
W000805,Mark R.,Warner,SSFI00,Committee on Finance,
W000805,Mark R.,Warner,SSBU00,Committee on the Budget,
W000805,Mark R.,Warner,SSBK00,"Committee on Banking, Housing, and Urban Affairs",
W000805,Mark R.,Warner,SLIN00,Select Committee on Intelligence,Chairman
W000805,Mark R.,Warner,SSRA00,Committee on Rules and Administration,
W000790,Raphael G.,Warnock,SSAF00,"Committee on Agriculture, Nutrition, and Forestry",
W000790,Raphael G.,Warnock,SSCM00,"Committee on Commerce, Science, and Transportation",
W000790,Raphael G.,Warnock,SSBK00,"Committee on Banking, Housing, and Urban Affairs",
W000790,Raphael G.,Warnock,SPAG00,Special Committee on Aging,
W000817,Elizabeth,Warren,SSFI00,Committee on Finance,
W000817,Elizabeth,Warren,SSBK00,"Committee on Banking, Housing, and Urban Affairs",
W000817,Elizabeth,Warren,SSAS00,Committee on Armed Services,
W000817,Elizabeth,Warren,SPAG00,Special Committee on Aging,
W000800,Peter,Welch,JSEC00,Joint Economic Committee,
W000800,Peter,Welch,SSAF00,"Committee on Agriculture, Nutrition, and Forestry",
W000800,Peter,Welch,SSCM00,"Committee on Commerce, Science, and Transportation",
W000800,Peter,Welch,SSJU00,Committee on the Judiciary,
W000800,Peter,Welch,SSRA00,Committee on Rules and Administration,
W000802,Sheldon,Whitehouse,JCSE00,Commission on Security and Cooperation in Europe,
W000802,Sheldon,Whitehouse,SSFI00,Committee on Finance,
W000802,Sheldon,Whitehouse,SCNC00,United States Senate Caucus on International Narcotics Control,Chairman
W000802,Sheldon,Whitehouse,SSBU00,Committee on the Budget,Chairman
W000802,Sheldon,Whitehouse,SSJU00,Committee on the Judiciary,
W000802,Sheldon,Whitehouse,SSEV00,Committee on Environment and Public Works,
W000437,Roger F.,Wicker,JCSE00,Commission on Security and Cooperation in Europe,
W000437,Roger F.,Wicker,SSCM00,"Committee on Commerce, Science, and Transportation",
W000437,Roger F.,Wicker,SSAS00,Committee on Armed Services,Ranking
W000437,Roger F.,Wicker,SSEV00,Committee on Environment and Public Works,
W000437,Roger F.,Wicker,SLIN00,Select Committee on Intelligence,
W000437,Roger F.,Wicker,SSRA00,Committee on Rules and Administration,
W000779,Ron,Wyden,JSTX00,Joint Committee on Taxation,Chairman
W000779,Ron,Wyden,SSFI00,Committee on Finance,Chairman
W000779,Ron,Wyden,SSBU00,Committee on the Budget,
W000779,Ron,Wyden,SLIN00,Select Committee on Intelligence,
W000779,Ron,Wyden,SSEG00,Committee on Energy and Natural Resources,
Y000064,Todd,Young,SSFI00,Committee on Finance,
Y000064,Todd,Young,SSSB00,Committee on Small Business and Entrepreneurship,
Y000064,Todd,Young,SSCM00,"Committee on Commerce, Science, and Transportation",
Y000064,Todd,Young,SSFR00,Committee on Foreign Relations,
